Course Session,Course,Professor,Bulletin,First Year Cirriculum,Credit-Hours,Term,Description,Year Begin,Year End,Course Category
Constitutional Law (1941-1942),Constitutional Law,Stanley Morrison,1941-1942,,,,,1941,1942,Constitutional Law
Public Utilities (1941-1942),Public Utilities,William Bailey Lockhart,1941-1942,,,,,1941,1942,Administrative Law & Regulation
Municipal Corporations (1941-1942),Municipal Corporations,Lowell Turrentine,1941-1942,,,,,1941,1942,Local Law
Taxation (1941-1942),Taxation,Stanley Morrison,1941-1942,,,,,1941,1942,Tax
Income Taxation (Summer 1942),Income Taxation,Stanley Morrison,Summer 1942,,,Summer,,1942,1942,Tax
Administrative Law (1941-1942),Administrative Law,Lowell Turrentine,1941-1942,,,,,1941,1942,Administrative Law & Regulation
Trade Regulation (1941-1942),Trade Regulation,William Bailey Lockhart,1941-1942,,,,,1941,1942,Administrative Law & Regulation
Labor Law (1941-1942),Labor Law,James Emmet Brenner,1941-1942,,,,,1941,1942,Labor Law
Legal Accounting (Summer 1942),Legal Accounting,Jacob Hugh Jackson,Summer 1942,,,Summer,,1942,1942,"Professional Skills, Practice & Ethics"
Directed Research (1941-1942),Directed Research,,1941-1942,,,,,1941,1942,Independent Study
Moot Court (1941-1942),Moot Court,,1941-1942,,,,,1941,1942,Research & Writing
Patent Law (1941-1942),Patent Law,Leonard Saxton Lyon,1941-1942,,,,,1941,1942,Intellectual Property
Business Law I (1942-1943),Business Law I,Harry John Rathbun,1942-1943,,,,,1942,1943,Corporate Law
Business Law II (1942-1943),Business Law II,Harry John Rathbun,1942-1943,,,,,1942,1943,Corporate Law
Law Problems in Business (1942-1943),Law Problems in Business,Harry John Rathbun,1942-1943,,,,,1942,1943,Corporate Law
Remedies and Personal Property (1942-1943),Remedies and Personal Property,George Edward Osborne,1942-1943,,,,,1942,1943,"Contracts, Torts & Remedies"
Contracts (1942-1943),Contracts,John Bingham Hurlbut,1942-1943,,,Summer,,1943,1943,"Contracts, Torts & Remedies"
Contracts (1942-1943),Contracts,John Bingham Hurlbut,1942-1943,,,,,1942,1943,"Contracts, Torts & Remedies"
Torts (1942-1943),Torts,Marion Rice Kirkwood,1942-1943,,,,,1942,1943,"Contracts, Torts & Remedies"
Criminal Law (1942-1943),Criminal Law,Chester Garfield Vernier,1942-1943,,,,,1942,1943,Criminal Law & Procedure
Real Property (1942-1943),Real Property,Marion Rice Kirkwood,1942-1943,,,Summer,,1943,1943,Property
Real Property (1942-1943),Real Property,Marion Rice Kirkwood,1942-1943,,,,,1942,1943,Property
Legal Bibliography and Brief Making (1942-1943),Legal Bibliography and Brief Making,James Emmet Brenner,1942-1943,,,,,1942,1943,Research & Writing
Legal Writing (1942-1943),Legal Writing,James Emmet Brenner,1942-1943,,,,,1942,1943,Research & Writing
The Legal Profession (1942-1943),The Legal Profession,Lowell Turrentine,1942-1943,,,,,1942,1943,"Professional Skills, Practice & Ethics"
Sales (1942-1943),Sales,Chester Garfield Vernier,1942-1943,,,,,1942,1943,Consumer & Commercial Law
Bills and Notes (1942-1943),Bills and Notes,Frank Smithies Rowley,1942-1943,,,Summer,,1943,1943,Consumer & Commercial Law
Bills and Notes (1942-1943),Bills and Notes,Chester Garfield Vernier,1942-1943,,,,,1942,1943,Consumer & Commercial Law
Mortgages (1942-1943),Mortgages,George Edward Osborne,1942-1943,,,Summer,,1943,1943,Consumer & Commercial Law
Bankruptcy (1942-1943),Bankruptcy,George Edward Osborne,1942-1943,,,,,1942,1943,Consumer & Commercial Law
Private Corporations (1942-1943),Private Corporations,William Brownlee Owens,1942-1943,,,,,1942,1943,Corporate Law
Admiralty (1942-1943),Admiralty,Stanley Morrison,1942-1943,,,,,1942,1943,International & Comparative Law
Agency (1942-1943),Agency,Lowell Turrentine,1942-1943,,,,,1942,1943,Agency
Conveyances (1942-1943),Conveyances,Marion Rice Kirkwood,1942-1943,,,,,1942,1943,Trusts & Estates
Wills (1942-1943),Wills,Joseph Walter Bingham,1942-1943,,,,,1942,1943,Trusts & Estates
Wills (1942-1943),Wills,Lowell Turrentine,1942-1943,,,Summer,,1943,1943,Trusts & Estates
Future Interests (1942-1943),Future Interests,Lowell Turrentine,1942-1943,,,,,1942,1943,Trusts & Estates
Water Rights (1942-1943),Water Rights,Joseph Walter Bingham,1942-1943,,,,,1942,1943,"Environmental, Natural Resources, Land Use & Water Law"
Equity (1942-1943),Equity,"""Samuel David Thurman, Jr.""",1942-1943,,,Summer,,1943,1943,"Contracts, Torts & Remedies"
Equity (1942-1943),Equity,Marion Rice Kirkwood,1942-1943,,,,,1942,1943,"Contracts, Torts & Remedies"
Equity (1942-1943),Equity,,1942-1943,,,Summer,,1943,1943,"Contracts, Torts & Remedies"
Trusts (1942-1943),Trusts,Harry John Rathbun,1942-1943,,,Summer,,1943,1943,Trusts & Estates
Trusts (1942-1943),Trusts,Joseph Walter Bingham,1942-1943,,,,,1942,1943,Trusts & Estates
Office Practice (1942-1943),Office Practice,James Emmet Brenner,1942-1943,,,,,1942,1943,"Professional Skills, Practice & Ethics"
Code Pleading (1943-1944),Code Pleading,William Brownlee Owens,1943-1944,,,Summer,,1944,1944,Pleading
Code Pleading (1942-1943),Code Pleading,William Brownlee Owens,1942-1943,,,,,1942,1943,Pleading
Evidence (1942-1943),Evidence,John Bingham Hurlbut,1942-1943,,,,,1942,1943,Evidence
Practice (1942-1943),Practice,William Brownlee Owens,1942-1943,,,,,1942,1943,"Professional Skills, Practice & Ethics"
Federal Jurisdiction and Procedure (1942-1943),Federal Jurisdiction and Procedure,Lowell Turrentine,1942-1943,,,,,1942,1943,Courts & Jurisprudence
Persons and Domestic Relations II (1942-1943),Persons and Domestic Relations II,Chester Garfield Vernier,1942-1943,,,,,1942,1943,Family Law
Private International Law (Conflict of Laws) (1942-1943),Private International Law (Conflict of Laws),Joseph Walter Bingham,1942-1943,,,,,1942,1943,International & Comparative Law
Constitutional Law (1942-1943),Constitutional Law,Stanley Morrison,1942-1943,,,,,1942,1943,Constitutional Law
Municipal Corporations (1942-1943),Municipal Corporations,Lowell Turrentine,1942-1943,,,,,1942,1943,Local Law
Taxation (1942-1943),Taxation,Stanley Morrison,1942-1943,,,,,1942,1943,Tax
Taxation (1943-1944),Taxation,Stanley Morrison,1943-1944,,,Summer,,1944,1944,Tax
Administrative Law (1942-1943),Administrative Law,Lowell Turrentine,1942-1943,,,,,1942,1943,Administrative Law & Regulation
Directed Research (1942-1943),Directed Research,,1942-1943,,,,,1942,1943,Independent Study
Moot Court (1942-1943),Moot Court,,1942-1943,,,,,1942,1943,Research & Writing
Patent Law (1942-1943),Patent Law,Leonard Saxton Lyon,1942-1943,,,,,1942,1943,Intellectual Property
Elementary Law I (1943-1944),Elementary Law I,Harry John Rathbun,1943-1944,,,Summer,,1944,1944,Introduction to Law
Elementary Law I (1943-1944),Elementary Law I,Harry John Rathbun,1943-1944,,,,,1943,1944,Introduction to Law
Business Law I (1943-1944),Business Law I,Harry John Rathbun,1943-1944,,,,,1943,1944,Corporate Law
Business Law II (1943-1944),Business Law II,Harry John Rathbun,1943-1944,,,,,1943,1944,Corporate Law
Law Problems in Business (1943-1944),Law Problems in Business,Harry John Rathbun,1943-1944,,,,,1943,1944,Corporate Law
Remedies and Personal Property (1943-1944),Remedies and Personal Property,George Edward Osborne,1943-1944,,,,,1943,1944,"Contracts, Torts & Remedies"
Contracts (1943-1944),Contracts,Harry John Rathbun,1943-1944,,,Summer,,1944,1944,"Contracts, Torts & Remedies"
Contracts (1943-1944),Contracts,Harry John Rathbun,1943-1944,,,,,1943,1944,"Contracts, Torts & Remedies"
Torts (1943-1944),Torts,Marion Rice Kirkwood,1943-1944,,,,,1943,1944,"Contracts, Torts & Remedies"
Criminal Law (1943-1944),Criminal Law,Chester Garfield Vernier,1943-1944,,,,,1943,1944,Criminal Law & Procedure
Real Property (1943-1944),Real Property,Marion Rice Kirkwood,1943-1944,,,,,1943,1944,Property
Legal Bibliography and Brief Making (1943-1944),Legal Bibliography and Brief Making,James Emmet Brenner,1943-1944,,,,,1943,1944,Research & Writing
Legal Writing (1943-1944),Legal Writing,James Emmet Brenner,1943-1944,,,,,1943,1944,Research & Writing
Sales (1943-1944),Sales,Chester Garfield Vernier,1943-1944,,,,,1943,1944,Consumer & Commercial Law
Bills and Notes (1943-1944),Bills and Notes,Chester Garfield Vernier,1943-1944,,,,,1943,1944,Consumer & Commercial Law
Mortgages (1943-1944),Mortgages,George Edward Osborne,1943-1944,,,,,1943,1944,Consumer & Commercial Law
Private Corporations (1943-1944),Private Corporations,William Brownlee Owens,1943-1944,,,Summer,,1944,1944,Corporate Law
Private Corporations (1943-1944),Private Corporations,William Brownlee Owens,1943-1944,,,,,1943,1944,Corporate Law
Agency (1943-1944),Agency,Lowell Turrentine,1943-1944,,,,,1943,1944,Agency
Conveyances (1943-1944),Conveyances,Marion Rice Kirkwood,1943-1944,,,,,1943,1944,Trusts & Estates
Wills (1943-1944),Wills,Lowell Turrentine,1943-1944,,,Summer,,1944,1944,Trusts & Estates
Wills (1943-1944),Wills,Lowell Turrentine,1943-1944,,,,,1943,1944,Trusts & Estates
Future Interests (1943-1944),Future Interests,Lowell Turrentine,1943-1944,,,,,1943,1944,Trusts & Estates
Equity (1943-1944),Equity,Marion Rice Kirkwood,1943-1944,,,Summer,,1944,1944,"Contracts, Torts & Remedies"
Equity (1943-1944),Equity,Marion Rice Kirkwood,1943-1944,,,,,1943,1944,"Contracts, Torts & Remedies"
Trusts (1943-1944),Trusts,George Edward Osborne,1943-1944,,,,,1943,1944,Trusts & Estates
Office Practice (1943-1944),Office Practice,James Emmet Brenner,1943-1944,,,,,1943,1944,"Professional Skills, Practice & Ethics"
Code Pleading (1943-1944),Code Pleading,William Brownlee Owens,1943-1944,,,,,1943,1944,Pleading
Evidence (1943-1944),Evidence,"""Samuel David Thurman, Jr.""",1943-1944,,,,,1943,1944,Evidence
Practice (1943-1944),Practice,William Brownlee Owens,1943-1944,,,,,1943,1944,"Professional Skills, Practice & Ethics"
Federal Jurisdiction and Procedure (1943-1944),Federal Jurisdiction and Procedure,Lowell Turrentine,1943-1944,,,,,1943,1944,Courts & Jurisprudence
Persons and Domestic Relations I (1943-1944),Persons and Domestic Relations I,Chester Garfield Vernier,1943-1944,,,,,1943,1944,Family Law
Private International Law (Conflict of Laws) (1943-1944),Private International Law (Conflict of Laws),George Edward Osborne,1943-1944,,,,,1943,1944,International & Comparative Law
Constitutional Law (1943-1944),Constitutional Law,"""Samuel David Thurman, Jr.""",1943-1944,,,Summer,,1944,1944,Constitutional Law
Constitutional Law (1943-1944),Constitutional Law,"""Samuel David Thurman, Jr.""",1943-1944,,,,,1943,1944,Constitutional Law
Municipal Corporations (1943-1944),Municipal Corporations,Lowell Turrentine,1943-1944,,,,,1943,1944,Local Law
Taxation (1943-1944),Taxation,"""Samuel David Thurman, Jr.""",1943-1944,,,,,1943,1944,Tax
Administrative Law (1943-1944),Administrative Law,Lowell Turrentine,1943-1944,,,,,1943,1944,Administrative Law & Regulation
Directed Research (1943-1944),Directed Research,,1943-1944,,,,,1943,1944,Independent Study
Moot Court (1943-1944),Moot Court,,1943-1944,,,,,1943,1944,Research & Writing
Patent Law (1943-1944),Patent Law,Leonard Saxton Lyon,1943-1944,,,,,1943,1944,Intellectual Property
Business Law I (1944-1945),Business Law I,Harry John Rathbun,1944-1945,,,,,1944,1945,Corporate Law
Business Law II (1944-1945),Business Law II,Harry John Rathbun,1944-1945,,,,,1944,1945,Corporate Law
Law Problems in Business (1944-1945),Law Problems in Business,Harry John Rathbun,1944-1945,,,,,1944,1945,Corporate Law
Remedies and Personal Property (1944-1945),Remedies and Personal Property,George Edward Osborne,1944-1945,,,,,1944,1945,"Contracts, Torts & Remedies"
Contracts (1944-1945),Contracts,Harry John Rathbun,1944-1945,,,,,1944,1945,"Contracts, Torts & Remedies"
Torts (1944-1945),Torts,Marion Rice Kirkwood,1944-1945,,,,,1944,1945,"Contracts, Torts & Remedies"
Criminal Law (1944-1945),Criminal Law,Chester Garfield Vernier,1944-1945,,,,,1944,1945,Criminal Law & Procedure
Real Property (1944-1945),Real Property,Marion Rice Kirkwood,1944-1945,,,,,1944,1945,Property
Legal Bibliography and Brief Making (1944-1945),Legal Bibliography and Brief Making,,1944-1945,,,,,1944,1945,Research & Writing
Legal Writing (1944-1945),Legal Writing,,1944-1945,,,,,1944,1945,Research & Writing
Sales (1944-1945),Sales,Chester Garfield Vernier,1944-1945,,,,,1944,1945,Consumer & Commercial Law
Bills and Notes (1944-1945),Bills and Notes,Harry John Rathbun,1944-1945,,,Summer,,1945,1945,Consumer & Commercial Law
Bills and Notes (1944-1945),Bills and Notes,Chester Garfield Vernier,1944-1945,,,,,1944,1945,Consumer & Commercial Law
Mortgages (1944-1945),Mortgages,George Edward Osborne,1944-1945,,,,,1944,1945,Consumer & Commercial Law
Private Corporations (1944-1945),Private Corporations,William Brownlee Owens,1944-1945,,,Summer,,1945,1945,Corporate Law
Private Corporations (1944-1945),Private Corporations,William Brownlee Owens,1944-1945,,,,,1944,1945,Corporate Law
Agency (1944-1945),Agency,Lowell Turrentine,1944-1945,,,Summer,,1945,1945,Agency
Agency (1944-1945),Agency,Lowell Turrentine,1944-1945,,,,,1944,1945,Agency
Conveyances (1944-1945),Conveyances,Marion Rice Kirkwood,1944-1945,,,,,1944,1945,Trusts & Estates
Wills (1944-1945),Wills,Lowell Turrentine,1944-1945,,,,,1944,1945,Trusts & Estates
Future Interests (1944-1945),Future Interests,Lowell Turrentine,1944-1945,,,,,1944,1945,Trusts & Estates
Equity (1944-1945),Equity,Marion Rice Kirkwood,1944-1945,,,Summer,,1945,1945,"Contracts, Torts & Remedies"
Equity (1944-1945),Equity,Marion Rice Kirkwood,1944-1945,,,,,1944,1945,"Contracts, Torts & Remedies"
Trusts (1944-1945),Trusts,George Edward Osborne,1944-1945,,,,,1944,1945,Trusts & Estates
Office Practice (1944-1945),Office Practice,,1944-1945,,,,,1944,1945,"Professional Skills, Practice & Ethics"
Code Pleading (1944-1945),Code Pleading,William Brownlee Owens,1944-1945,,,,,1944,1945,Pleading
Evidence (1944-1945),Evidence,"""Samuel David Thurman, Jr.""",1944-1945,,,,,1944,1945,Evidence
Practice (1944-1945),Practice,William Brownlee Owens,1944-1945,,,,,1944,1945,"Professional Skills, Practice & Ethics"
Federal Jurisdiction and Procedure (1944-1945),Federal Jurisdiction and Procedure,Lowell Turrentine,1944-1945,,,,,1944,1945,Courts & Jurisprudence
Persons and Domestic Relations II (1944-1945),Persons and Domestic Relations II,Chester Garfield Vernier,1944-1945,,,,,1944,1945,Family Law
Private International Law (Conflict of Laws) (1944-1945),Private International Law (Conflict of Laws),George Edward Osborne,1944-1945,,,Summer,,1945,1945,International & Comparative Law
Constitutional Law (1944-1945),Constitutional Law,"""Samuel David Thurman, Jr.""",1944-1945,,,Summer,,1945,1945,Constitutional Law
Constitutional Law (1944-1945),Constitutional Law,"""Samuel David Thurman, Jr.""",1944-1945,,,,,1944,1945,Constitutional Law
Municipal Corporations (1944-1945),Municipal Corporations,Lowell Turrentine,1944-1945,,,,,1944,1945,Local Law
Taxation (1944-1945),Taxation,"""Samuel David Thurman, Jr.""",1944-1945,,,,,1944,1945,Tax
Administrative Law (1944-1945),Administrative Law,Lowell Turrentine,1944-1945,,,,,1944,1945,Administrative Law & Regulation
Directed Research (1944-1945),Directed Research,,1944-1945,,,,,1944,1945,Independent Study
Moot Court (1944-1945),Moot Court,,1944-1945,,,,,1944,1945,Research & Writing
Patent Law (1944-1945),Patent Law,Leonard Saxton Lyon,1944-1945,,,,,1944,1945,Intellectual Property
Law Problems in Business (1945-1946),Law Problems in Business,Harry John Rathbun,1945-1946,,,,,1945,1946,Corporate Law
Remedies and Personal Property (1945-1946),Remedies and Personal Property,George Edward Osborne,1945-1946,,,,,1945,1946,"Contracts, Torts & Remedies"
Contracts (1945-1946),Contracts,,1945-1946,,,,,1945,1946,"Contracts, Torts & Remedies"
Torts (1945-1946),Torts,Marion Rice Kirkwood,1945-1946,,,,,1945,1946,"Contracts, Torts & Remedies"
Criminal Law (1945-1946),Criminal Law,Chester Garfield Vernier,1945-1946,,,,,1945,1946,Criminal Law & Procedure
Real Property (1945-1946),Real Property,Marion Rice Kirkwood,1945-1946,,,,,1945,1946,Property
Legal Bibliography and Brief Making (1945-1946),Legal Bibliography and Brief Making,,1945-1946,,,,,1945,1946,Research & Writing
Legal Writing (1945-1946),Legal Writing,,1945-1946,,,,,1945,1946,Research & Writing
Sales (1945-1946),Sales,Chester Garfield Vernier,1945-1946,,,,,1945,1946,Consumer & Commercial Law
Bills and Notes (1945-1946),Bills and Notes,Chester Garfield Vernier,1945-1946,,,,,1945,1946,Consumer & Commercial Law
Mortgages (1945-1946),Mortgages,George Edward Osborne,1945-1946,,,,,1945,1946,Consumer & Commercial Law
Private Corporations (1945-1946),Private Corporations,William Brownlee Owens,1945-1946,,,,,1945,1946,Corporate Law
Agency (1945-1946),Agency,Lowell Turrentine,1945-1946,,,Summer,,1946,1946,Agency
Agency (1945-1946),Agency,Lowell Turrentine,1945-1946,,,,,1945,1946,Agency
Conveyances (1945-1946),Conveyances,Marion Rice Kirkwood,1945-1946,,,,,1945,1946,Trusts & Estates
Wills (1945-1946),Wills,Lowell Turrentine,1945-1946,,,,,1945,1946,Trusts & Estates
Future Interests (1945-1946),Future Interests,Lowell Turrentine,1945-1946,,,,,1945,1946,Trusts & Estates
Equity (1945-1946),Equity,Marion Rice Kirkwood,1945-1946,,,Summer,,1946,1946,"Contracts, Torts & Remedies"
Equity (1945-1946),Equity,Marion Rice Kirkwood,1945-1946,,,,,1945,1946,"Contracts, Torts & Remedies"
Trusts (1945-1946),Trusts,George Edward Osborne,1945-1946,,,,,1945,1946,Trusts & Estates
Office Practice (1945-1946),Office Practice,,1945-1946,,,,,1945,1946,"Professional Skills, Practice & Ethics"
Code Pleading (1945-1946),Code Pleading,William Brownlee Owens,1945-1946,,,,,1945,1946,Pleading
Evidence (1945-1946),Evidence,"""Samuel David Thurman, Jr.""",1945-1946,,,,,1945,1946,Evidence
Practice (1945-1946),Practice,William Brownlee Owens,1945-1946,,,,,1945,1946,"Professional Skills, Practice & Ethics"
Federal Jurisdiction and Procedure (1945-1946),Federal Jurisdiction and Procedure,Lowell Turrentine,1945-1946,,,,,1945,1946,Courts & Jurisprudence
Persons and Domestic Relations I (1945-1946),Persons and Domestic Relations I,Chester Garfield Vernier,1945-1946,,,,,1945,1946,Family Law
Private International Law (Conflict of Laws) (1945-1946),Private International Law (Conflict of Laws),Ralph Norman Kleps,1945-1946,,,Summer,,1946,1946,International & Comparative Law
Constitutional Law (1945-1946),Constitutional Law,"""Samuel David Thurman, Jr.""",1945-1946,,,,,1945,1946,Constitutional Law
Municipal Corporations (1945-1946),Municipal Corporations,Lowell Turrentine,1945-1946,,,,,1945,1946,Local Law
Taxation (1945-1946),Taxation,"""Samuel David Thurman, Jr.""",1945-1946,,,Summer,,1946,1946,Tax
Taxation (1945-1946),Taxation,"""Samuel David Thurman, Jr.""",1945-1946,,,,,1945,1946,Tax
Administrative Law (1945-1946),Administrative Law,Lowell Turrentine,1945-1946,,,,,1945,1946,Administrative Law & Regulation
Directed Research (1945-1946),Directed Research,,1945-1946,,,,,1945,1946,Independent Study
Moot Court (1945-1946),Moot Court,,1945-1946,,,,,1945,1946,Research & Writing
Patent Law (1945-1946),Patent Law,Leonard Saxton Lyon,1945-1946,,,,,1945,1946,Intellectual Property
Business Law I (1946-1947),Business Law I,Harry John Rathbun,1946-1947,,,,,1946,1947,Corporate Law
Business Law II (1946-1947),Business Law II,Harry John Rathbun,1946-1947,,,,,1946,1947,Corporate Law
Law Problems in Business (1946-1947),Law Problems in Business,Harry John Rathbun,1946-1947,,,,,1946,1947,Corporate Law
Remedies and Personal Property (1946-1947),Remedies and Personal Property,George Edward Osborne,1946-1947,,,,,1946,1947,"Contracts, Torts & Remedies"
Contracts (1946-1947),Contracts,John Bingham Hurlbut,1946-1947,,,Summer,,1947,1947,"Contracts, Torts & Remedies"
Contracts (1946-1947),Contracts,John Bingham Hurlbut,1946-1947,,,,,1946,1947,"Contracts, Torts & Remedies"
Torts (1946-1947),Torts,William Bailey Lockhart,1946-1947,,,Summer,,1947,1947,"Contracts, Torts & Remedies"
Torts (1946-1947),Torts,"""Samuel David Thurman, Jr.""",1946-1947,,,,,1946,1947,"Contracts, Torts & Remedies"
Criminal Law (1946-1947),Criminal Law,Allan Frederick Smith,1946-1947,,,,,1946,1947,Criminal Law & Procedure
Real Property (1946-1947),Real Property,Marion Rice Kirkwood,1946-1947,,,Summer,,1947,1947,Property
Real Property (1946-1947),Real Property,Marion Rice Kirkwood,1946-1947,,,,,1946,1947,Property
Legal Bibliography and Brief Making (1946-1947),Legal Bibliography and Brief Making,James Emmet Brenner,1946-1947,,,,,1946,1947,Research & Writing
Legal Writing (1946-1947),Legal Writing,James Emmet Brenner,1946-1947,,,Summer,,1947,1947,Research & Writing
Legal Writing (1946-1947),Legal Writing,James Emmet Brenner,1946-1947,,,,,1946,1947,Research & Writing
Sales (1946-1947),Sales,,1946-1947,,,,,1946,1947,Consumer & Commercial Law
Bills and Notes (1946-1947),Bills and Notes,"""Samuel David Thurman, Jr.""",1946-1947,,,,,1946,1947,Consumer & Commercial Law
Mortgages (1946-1947),Mortgages,George Edward Osborne,1946-1947,,,,,1946,1947,Consumer & Commercial Law
Creditors' Rights (1946-1947),Creditors' Rights,,1946-1947,,,,,1946,1947,Consumer & Commercial Law
Private Corporations (1946-1947),Private Corporations,William Brownlee Owens,1946-1947,,,,,1946,1947,Corporate Law
Admiralty (1946-1947),Admiralty,Stanley Morrison,1946-1947,,,,,1946,1947,International & Comparative Law
Agency (1946-1947),Agency,Allan Frederick Smith,1946-1947,,,,,1946,1947,Agency
Conveyances (1946-1947),Conveyances,Marion Rice Kirkwood,1946-1947,,,,,1946,1947,Trusts & Estates
Wills (1946-1947),Wills,Lowell Turrentine,1946-1947,,,,,1946,1947,Trusts & Estates
Future Interests (1946-1947),Future Interests,Lowell Turrentine,1946-1947,,,,,1946,1947,Trusts & Estates
Water Rights (1946-1947),Water Rights,Marion Rice Kirkwood,1946-1947,,,,,1946,1947,"Environmental, Natural Resources, Land Use & Water Law"
Equity (1946-1947),Equity,Marion Rice Kirkwood,1946-1947,,,Summer,,1947,1947,"Contracts, Torts & Remedies"
Equity (1946-1947),Equity,Marion Rice Kirkwood,1946-1947,,,,,1946,1947,"Contracts, Torts & Remedies"
Trusts (1946-1947),Trusts,,1946-1947,,,,,1946,1947,Trusts & Estates
Office Practice (1946-1947),Office Practice,James Emmet Brenner,1946-1947,,,,,1946,1947,"Professional Skills, Practice & Ethics"
Code Pleading (1946-1947),Code Pleading,William Brownlee Owens,1946-1947,,,Summer,,1947,1947,Pleading
Code Pleading (1946-1947),Code Pleading,William Brownlee Owens,1946-1947,,,,,1946,1947,Pleading
Evidence (1946-1947),Evidence,"""Samuel David Thurman, Jr.""",1946-1947,,,Summer,,1947,1947,Evidence
Evidence (1946-1947),Evidence,John Bingham Hurlbut,1946-1947,,,,,1946,1947,Evidence
Practice (1946-1947),Practice,William Brownlee Owens,1946-1947,,,,,1946,1947,"Professional Skills, Practice & Ethics"
Federal Jurisdiction and Procedure (1946-1947),Federal Jurisdiction and Procedure,Lowell Turrentine,1946-1947,,,Summer,,1947,1947,Courts & Jurisprudence
Federal Jurisdiction and Procedure (1946-1947),Federal Jurisdiction and Procedure,Lowell Turrentine,1946-1947,,,,,1946,1947,Courts & Jurisprudence
Persons and Domestic Relations I (1946-1947),Persons and Domestic Relations I,,1946-1947,,,,,1946,1947,Family Law
Private International Law (Conflict of Laws) (1946-1947),Private International Law (Conflict of Laws),John Montgomery Cranston,1946-1947,,,Summer,,1947,1947,International & Comparative Law
Private International Law (Conflict of Laws) (1946-1947),Private International Law (Conflict of Laws),,1946-1947,,,,,1946,1947,International & Comparative Law
Constitutional Law (1946-1947),Constitutional Law,Stanley Morrison,1946-1947,,,,,1946,1947,Constitutional Law
Public Utilities (1946-1947),Public Utilities,,1946-1947,,,,,1946,1947,Administrative Law & Regulation
Municipal Corporations (1946-1947),Municipal Corporations,Allan Frederick Smith,1946-1947,,,,,1946,1947,Local Law
Taxation (1946-1947),Taxation,Stanley Morrison,1946-1947,,,,,1946,1947,Tax
Administrative Law (1946-1947),Administrative Law,Lowell Turrentine,1946-1947,,,,,1946,1947,Administrative Law & Regulation
Trade Regulation (1946-1947),Trade Regulation,,1946-1947,,,,,1946,1947,Administrative Law & Regulation
Labor Law (1946-1947),Labor Law,Arthur Carlton Miller,1946-1947,,,Summer,,1947,1947,Labor Law
Labor Law (1946-1947),Labor Law,James Emmet Brenner,1946-1947,,,,,1946,1947,Labor Law
Directed Research (1946-1947),Directed Research,,1946-1947,,,,,1946,1947,Independent Study
Special Study (1946-1947),Special Study,"""Samuel David Thurman, Jr.""",1946-1947,,,,,1946,1947,Independent Study
Moot Court (1946-1947),Moot Court,,1946-1947,,,,,1946,1947,Research & Writing
Patent Law (1946-1947),Patent Law,Leonard Saxton Lyon,1946-1947,,,,,1946,1947,Intellectual Property
Business Law I (1947-1948),Business Law I,Harry John Rathbun,1947-1948,,,,,1947,1948,Corporate Law
Business Law II (1947-1948),Business Law II,Harry John Rathbun,1947-1948,,,,,1947,1948,Corporate Law
Law Problems in Business (1947-1948),Law Problems in Business,Harry John Rathbun,1947-1948,,,,,1947,1948,Corporate Law
Personal Property and Equity (1947-1948),Personal Property and Equity,George Edward Osborne,1947-1948,,,,,1947,1948,Property
Contracts (1947-1948),Contracts,John Bingham Hurlbut,1947-1948,,,,,1947,1948,"Contracts, Torts & Remedies"
Torts (1947-1948),Torts,"""Samuel David Thurman, Jr.""",1947-1948,,,,,1947,1948,"Contracts, Torts & Remedies"
Criminal Law (1947-1948),Criminal Law,Richard Shipman Young,1947-1948,,,,,1947,1948,Criminal Law & Procedure
Introduction to Law (1947-1948),Introduction to Law,Ferdinand Fairfax Stone,1947-1948,,,,,1947,1948,Introduction to Law
Real Property (1947-1948),Real Property,Marion Rice Kirkwood,1947-1948,,,,,1947,1948,Property
Agency (1947-1948),Agency,Carl Bernhardt Spaeth,1947-1948,,,,,1947,1948,Agency
Legal Bibliography and Brief Making (1947-1948),Legal Bibliography and Brief Making,James Emmet Brenner,1947-1948,,,,,1947,1948,Research & Writing
Legal Writing (1947-1948),Legal Writing,,1947-1948,,,,,1947,1948,Research & Writing
The Legal Profession (1947-1948),The Legal Profession,Lowell Turrentine,1947-1948,,,,,1947,1948,"Professional Skills, Practice & Ethics"
Sales (1947-1948),Sales,Richard Shipman Young,1947-1948,,,,,1947,1948,Consumer & Commercial Law
Bills and Notes (1947-1948),Bills and Notes,Charles Edward Corker,1947-1948,,,,,1947,1948,Consumer & Commercial Law
Mortgages (1947-1948),Mortgages,Charles Edward Corker,1947-1948,,,,,1947,1948,Consumer & Commercial Law
Creditors' Rights (1947-1948),Creditors' Rights,Charles Edward Corker,1947-1948,,,,,1947,1948,Consumer & Commercial Law
Legal Accounting (1947-1948),Legal Accounting,,1947-1948,,,Summer,,1948,1948,"Professional Skills, Practice & Ethics"
Private Corporations (1947-1948),Private Corporations,William Brownlee Owens,1947-1948,,,,,1947,1948,Corporate Law
Corporate Reorganization and Finance (1947-1948),Corporate Reorganization and Finance,Carl Bernhardt Spaeth,1947-1948,,,,,1947,1948,Corporate Law
Admiralty (1947-1948),Admiralty,Stanley Morrison,1947-1948,,,,,1947,1948,International & Comparative Law
Conveyances (1947-1948),Conveyances,Gordon Kendall Scott,1947-1948,,,,,1947,1948,Trusts & Estates
